[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - MT308984.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - HW269828.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - AY357075.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - AY394991.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - JF292903.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - AY345987.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - AY395004.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - HQ890529.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:45] [gen3_augur_pyutils.ParseGenBank] - GU553364.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - AH013708.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - HQ890539.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - KU973692.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - HI553383.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - JF292913.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - DQ412043.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - AY394981.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - AY545918.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - FJ882961.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - FJ882930.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - KJ473815.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - DL476508.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - FJ882955.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - KF514393.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:46] [gen3_augur_pyutils.ParseGenBank] - AY394995.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - FJ882941.gb is not Covid19 sample, remove the file
[ERROR] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - No location information, remove LC528233.gb
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - AY395000.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - KY417148.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - AY283795.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - JF292907.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - KF569996.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - AY286320.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - JF292917.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:47] [gen3_augur_pyutils.ParseGenBank] - AY559088.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - KJ473811.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - FJ882951.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - AY394985.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - FJ882934.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - AY278487.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:48] [gen3_augur_pyutils.ParseGenBank] - GQ153545.gb is not Covid19 sample, remove the file
